full_ticket,extra_pair,sum_all_5,high_freq_score,pair_seen_together,has_consecutive
04-13-31-34-47 MB:04,34-47,129,21,1,no
04-13-31-34-56 MB:04,34-56,138,21,1,no
04-13-31-34-57 MB:04,34-57,139,21,1,no
04-13-31-35-36 MB:04,35-36,119,21,1,yes
04-13-31-36-43 MB:04,36-43,127,21,1,no
04-13-31-36-57 MB:04,36-57,141,21,1,no
04-13-31-37-49 MB:04,37-49,134,21,1,no
04-13-31-40-53 MB:04,40-53,141,21,1,no
04-13-31-41-53 MB:04,41-53,142,21,1,no
04-13-31-44-53 MB:04,44-53,145,21,1,no
04-13-31-53-58 MB:04,53-58,159,21,1,no
04-13-31-33-38 MB:04,33-38,119,21,0,no
04-13-31-34-35 MB:04,34-35,117,21,0,yes
04-13-31-34-37 MB:04,34-37,119,21,0,no
04-13-31-34-43 MB:04,34-43,125,21,0,no
04-13-31-34-46 MB:04,34-46,128,21,0,no
04-13-31-34-51 MB:04,34-51,133,21,0,no
04-13-31-35-49 MB:04,35-49,132,21,0,no
04-13-31-36-46 MB:04,36-46,130,21,0,no
04-13-31-36-47 MB:04,36-47,131,21,0,no
04-13-31-36-51 MB:04,36-51,135,21,0,no
04-13-31-36-56 MB:04,36-56,140,21,0,no
04-13-31-38-39 MB:04,38-39,125,21,0,yes
04-13-31-38-40 MB:04,38-40,126,21,0,no
04-13-31-38-41 MB:04,38-41,127,21,0,no
04-13-31-38-44 MB:04,38-44,130,21,0,no
04-13-31-38-58 MB:04,38-58,144,21,0,no
04-13-31-39-53 MB:04,39-53,140,21,0,no
04-13-31-46-49 MB:04,46-49,143,21,0,no
04-13-31-47-49 MB:04,47-49,144,21,0,no
04-13-31-49-51 MB:04,49-51,148,21,0,no
04-13-31-49-56 MB:04,49-56,153,21,0,no
04-13-31-49-57 MB:04,49-57,154,21,0,no
04-13-31-40-41 MB:04,40-41,129,20,2,yes
04-13-31-33-39 MB:04,33-39,120,20,1,no
04-13-31-33-41 MB:04,33-41,122,20,1,no
04-13-31-34-38 MB:04,34-38,120,20,1,no
04-13-31-36-38 MB:04,36-38,122,20,1,no
04-13-31-38-49 MB:04,38-49,135,20,1,no
04-13-31-39-58 MB:04,39-58,145,20,1,no
04-13-31-40-58 MB:04,40-58,146,20,1,no
04-13-31-41-58 MB:04,41-58,147,20,1,no
04-13-31-44-58 MB:04,44-58,150,20,1,no
04-13-31-50-52 MB:04,50-52,150,20,1,no
04-13-31-33-40 MB:04,33-40,121,20,0,no
04-13-31-33-44 MB:04,33-44,125,20,0,no
04-13-31-33-58 MB:04,33-58,139,20,0,no
04-13-31-34-53 MB:04,34-53,135,20,0,no
04-13-31-36-53 MB:04,36-53,137,20,0,no
04-13-31-39-40 MB:04,39-40,127,20,0,yes
04-13-31-39-41 MB:04,39-41,128,20,0,no
04-13-31-39-44 MB:04,39-44,131,20,0,no
04-13-31-40-44 MB:04,40-44,132,20,0,no
04-13-31-41-44 MB:04,41-44,133,20,0,no
04-13-31-49-53 MB:04,49-53,150,20,0,no
04-13-31-34-39 MB:04,34-39,121,19,3,no
04-13-31-36-58 MB:04,36-58,142,19,2,no
04-13-31-33-36 MB:04,33-36,117,19,1,no
04-13-31-34-44 MB:04,34-44,126,19,1,no
04-13-31-36-39 MB:04,36-39,123,19,1,no
04-13-31-36-40 MB:04,36-40,124,19,1,no
04-13-31-36-41 MB:04,36-41,125,19,1,no
04-13-31-41-49 MB:04,41-49,138,19,1,no
04-13-31-42-52 MB:04,42-52,142,19,1,no
04-13-31-33-34 MB:04,33-34,115,19,0,yes
04-13-31-33-49 MB:04,33-49,130,19,0,no
04-13-31-34-40 MB:04,34-40,122,19,0,no
04-13-31-34-41 MB:04,34-41,123,19,0,no
04-13-31-34-58 MB:04,34-58,140,19,0,no
04-13-31-36-44 MB:04,36-44,128,19,0,no
04-13-31-39-49 MB:04,39-49,136,19,0,no
04-13-31-40-49 MB:04,40-49,137,19,0,no
04-13-31-44-49 MB:04,44-49,141,19,0,no
04-13-31-48-52 MB:04,48-52,148,19,0,no
04-13-31-49-58 MB:04,49-58,155,19,0,no
04-13-31-45-52 MB:04,45-52,145,18,1,no
04-13-31-34-36 MB:04,34-36,118,18,0,no
04-13-31-34-49 MB:04,34-49,131,18,0,no
