full_ticket,extra_pair,sum_all_5,high_freq_score,pair_seen_together,has_consecutive
04-12-13-31-50 MB:04,12-50,110,24,1,yes
04-13-14-31-35 MB:04,14-35,97,24,1,yes
04-13-14-31-43 MB:04,14-43,105,24,1,yes
04-13-14-31-46 MB:04,14-46,108,24,1,yes
04-13-14-31-47 MB:04,14-47,109,24,1,yes
04-13-15-31-49 MB:04,15-49,112,24,1,no
04-13-16-31-45 MB:04,16-45,109,24,1,no
04-13-18-31-34 MB:04,18-34,100,24,1,no
04-13-19-31-34 MB:04,19-34,101,24,1,no
04-13-19-31-36 MB:04,19-36,103,24,1,no
04-13-20-31-33 MB:04,20-33,101,24,1,no
04-13-20-31-39 MB:04,20-39,107,24,1,no
04-13-20-31-44 MB:04,20-44,112,24,1,no
04-13-20-31-58 MB:04,20-58,126,24,1,no
04-13-25-31-53 MB:04,25-53,126,24,1,no
04-13-26-31-45 MB:04,26-45,119,24,1,no
04-13-28-31-48 MB:04,28-48,124,24,1,no
04-13-29-31-38 MB:04,29-38,115,24,1,no
02-04-13-31-33 MB:04,02-33,83,24,0,no
02-04-13-31-39 MB:04,02-39,89,24,0,no
02-04-13-31-44 MB:04,02-44,94,24,0,no
04-06-13-31-53 MB:04,06-53,107,24,0,no
04-08-13-31-38 MB:04,08-38,94,24,0,no
04-09-13-31-50 MB:04,09-50,107,24,0,no
04-11-13-31-50 MB:04,11-50,109,24,0,no
04-13-14-31-37 MB:04,14-37,99,24,0,yes
04-13-14-31-56 MB:04,14-56,118,24,0,yes
04-13-15-31-34 MB:04,15-34,97,24,0,no
04-13-15-31-36 MB:04,15-36,99,24,0,no
04-13-17-31-52 MB:04,17-52,117,24,0,no
04-13-18-31-36 MB:04,18-36,102,24,0,no
04-13-18-31-49 MB:04,18-49,115,24,0,no
04-13-19-31-49 MB:04,19-49,116,24,0,no
04-13-20-31-41 MB:04,20-41,109,24,0,no
04-13-22-31-32 MB:04,22-32,102,24,0,yes
04-13-23-31-32 MB:04,23-32,103,24,0,yes
04-13-24-31-48 MB:04,24-48,120,24,0,no
04-13-25-31-38 MB:04,25-38,111,24,0,no
04-13-27-31-54 MB:04,27-54,129,24,0,no
04-13-29-31-53 MB:04,29-53,130,24,0,no
04-13-30-31-34 MB:04,30-34,112,24,0,yes
04-13-30-31-36 MB:04,30-36,114,24,0,yes
04-13-16-31-43 MB:04,16-43,107,23,3,no
04-07-13-31-37 MB:04,07-37,92,23,2,no
04-07-13-31-51 MB:04,07-51,106,23,2,no
04-08-13-31-39 MB:04,08-39,95,23,2,no
04-10-13-31-42 MB:04,10-42,100,23,2,no
04-13-20-31-49 MB:04,20-49,117,23,2,no
04-13-23-31-50 MB:04,23-50,121,23,2,no
04-13-25-31-33 MB:04,25-33,106,23,2,no
04-13-26-31-43 MB:04,26-43,117,23,2,no
04-13-26-31-47 MB:04,26-47,121,23,2,no
04-13-26-31-51 MB:04,26-51,125,23,2,no
04-13-26-31-56 MB:04,26-56,130,23,2,no
02-04-13-31-49 MB:04,02-49,99,23,1,no
04-06-13-31-33 MB:04,06-33,87,23,1,no
04-06-13-31-39 MB:04,06-39,93,23,1,no
04-06-13-31-41 MB:04,06-41,95,23,1,no
04-06-13-31-44 MB:04,06-44,98,23,1,no
04-06-13-31-58 MB:04,06-58,112,23,1,no
04-07-13-31-35 MB:04,07-35,90,23,1,no
04-07-13-31-46 MB:04,07-46,101,23,1,no
04-07-13-31-47 MB:04,07-47,102,23,1,no
04-07-13-31-56 MB:04,07-56,111,23,1,no
04-07-13-31-57 MB:04,07-57,112,23,1,no
04-08-13-31-40 MB:04,08-40,96,23,1,no
04-08-13-31-41 MB:04,08-41,97,23,1,no
04-08-13-31-44 MB:04,08-44,100,23,1,no
04-08-13-31-58 MB:04,08-58,114,23,1,no
04-09-13-31-42 MB:04,09-42,99,23,1,no
04-09-13-31-48 MB:04,09-48,105,23,1,no
04-10-13-31-48 MB:04,10-48,106,23,1,no
04-12-13-31-48 MB:04,12-48,108,23,1,yes
04-13-16-31-35 MB:04,16-35,99,23,1,no
04-13-16-31-37 MB:04,16-37,101,23,1,no
04-13-16-31-51 MB:04,16-51,115,23,1,no
04-13-20-31-34 MB:04,20-34,102,23,1,no
04-13-22-31-50 MB:04,22-50,120,23,1,no
04-13-24-31-45 MB:04,24-45,117,23,1,no
04-13-25-31-39 MB:04,25-39,112,23,1,no
04-13-25-31-40 MB:04,25-40,113,23,1,no
04-13-25-31-44 MB:04,25-44,117,23,1,no
04-13-25-31-58 MB:04,25-58,131,23,1,no
04-13-26-31-46 MB:04,26-46,120,23,1,no
04-13-27-31-32 MB:04,27-32,107,23,1,yes
04-13-29-31-41 MB:04,29-41,118,23,1,no
04-13-29-31-44 MB:04,29-44,121,23,1,no
02-04-13-31-34 MB:04,02-34,84,23,0,no
02-04-13-31-36 MB:04,02-36,86,23,0,no
04-05-13-31-50 MB:04,05-50,103,23,0,yes
04-06-13-31-40 MB:04,06-40,94,23,0,no
04-07-13-31-43 MB:04,07-43,98,23,0,no
04-08-13-31-33 MB:04,08-33,89,23,0,no
04-11-13-31-42 MB:04,11-42,101,23,0,no
04-11-13-31-48 MB:04,11-48,107,23,0,no
04-12-13-31-42 MB:04,12-42,102,23,0,yes
04-13-14-31-38 MB:04,14-38,100,23,0,yes
04-13-14-31-53 MB:04,14-53,115,23,0,yes
04-13-16-31-46 MB:04,16-46,110,23,0,no
04-13-16-31-47 MB:04,16-47,111,23,0,no
04-13-16-31-56 MB:04,16-56,120,23,0,no
04-13-16-31-57 MB:04,16-57,121,23,0,no
04-13-20-31-36 MB:04,20-36,104,23,0,no
04-13-25-31-41 MB:04,25-41,114,23,0,no
04-13-26-31-35 MB:04,26-35,109,23,0,no
04-13-26-31-37 MB:04,26-37,111,23,0,no
04-13-26-31-57 MB:04,26-57,131,23,0,no
04-13-28-31-45 MB:04,28-45,121,23,0,no
04-13-29-31-33 MB:04,29-33,110,23,0,no
04-13-29-31-39 MB:04,29-39,116,23,0,no
04-13-29-31-40 MB:04,29-40,117,23,0,no
04-13-29-31-58 MB:04,29-58,135,23,0,no
04-05-13-31-42 MB:04,05-42,95,22,3,yes
04-07-13-31-38 MB:04,07-38,93,22,3,no
04-11-13-31-45 MB:04,11-45,104,22,3,no
04-06-13-31-34 MB:04,06-34,88,22,2,no
04-13-25-31-36 MB:04,25-36,109,22,2,no
04-13-27-31-50 MB:04,27-50,125,22,2,no
04-13-29-31-49 MB:04,29-49,126,22,2,no
04-05-13-31-48 MB:04,05-48,101,22,1,yes
04-06-13-31-36 MB:04,06-36,90,22,1,no
04-08-13-31-34 MB:04,08-34,90,22,1,no
04-08-13-31-49 MB:04,08-49,105,22,1,no
04-09-13-31-45 MB:04,09-45,102,22,1,no
04-10-13-31-45 MB:04,10-45,103,22,1,no
04-13-14-31-39 MB:04,14-39,101,22,1,yes
04-13-14-31-44 MB:04,14-44,106,22,1,yes
04-13-14-31-58 MB:04,14-58,120,22,1,yes
04-13-16-31-53 MB:04,16-53,117,22,1,no
04-13-23-31-48 MB:04,23-48,119,22,1,no
04-13-24-31-37 MB:04,24-37,109,22,1,no
04-13-24-31-47 MB:04,24-47,119,22,1,no
04-13-24-31-57 MB:04,24-57,129,22,1,no
04-13-25-31-34 MB:04,25-34,107,22,1,no
04-13-26-31-38 MB:04,26-38,112,22,1,no
04-13-26-31-53 MB:04,26-53,127,22,1,no
04-13-28-31-46 MB:04,28-46,122,22,1,no
04-13-28-31-47 MB:04,28-47,123,22,1,no
04-13-28-31-51 MB:04,28-51,127,22,1,no
04-13-29-31-34 MB:04,29-34,111,22,1,no
04-13-29-31-36 MB:04,29-36,113,22,1,no
03-04-13-31-52 MB:04,03-52,103,22,0,yes
04-06-13-31-49 MB:04,06-49,103,22,0,no
04-07-13-31-53 MB:04,07-53,108,22,0,no
04-08-13-31-36 MB:04,08-36,92,22,0,no
04-12-13-31-45 MB:04,12-45,105,22,0,yes
04-13-14-31-33 MB:04,14-33,95,22,0,yes
04-13-14-31-40 MB:04,14-40,102,22,0,yes
04-13-14-31-41 MB:04,14-41,103,22,0,yes
04-13-16-31-38 MB:04,16-38,102,22,0,no
04-13-21-31-52 MB:04,21-52,121,22,0,no
04-13-22-31-42 MB:04,22-42,112,22,0,no
04-13-22-31-48 MB:04,22-48,118,22,0,no
04-13-23-31-42 MB:04,23-42,113,22,0,no
04-13-24-31-35 MB:04,24-35,107,22,0,no
04-13-24-31-43 MB:04,24-43,115,22,0,no
04-13-24-31-46 MB:04,24-46,118,22,0,no
04-13-24-31-51 MB:04,24-51,123,22,0,no
04-13-24-31-56 MB:04,24-56,128,22,0,no
04-13-25-31-49 MB:04,25-49,122,22,0,no
04-13-28-31-35 MB:04,28-35,111,22,0,no
04-13-28-31-37 MB:04,28-37,113,22,0,no
04-13-28-31-43 MB:04,28-43,119,22,0,no
04-13-28-31-56 MB:04,28-56,132,22,0,no
04-13-28-31-57 MB:04,28-57,133,22,0,no
04-13-16-31-41 MB:04,16-41,105,21,3,no
04-09-13-31-57 MB:04,09-57,114,21,2,no
04-10-13-31-37 MB:04,10-37,95,21,2,no
04-11-13-31-56 MB:04,11-56,115,21,2,no
04-12-13-31-46 MB:04,12-46,106,21,2,yes
04-13-16-31-33 MB:04,16-33,97,21,2,no
04-13-24-31-38 MB:04,24-38,110,21,2,no
04-13-26-31-44 MB:04,26-44,118,21,2,no
04-07-13-31-33 MB:04,07-33,88,21,1,no
04-09-13-31-35 MB:04,09-35,92,21,1,no
04-09-13-31-46 MB:04,09-46,103,21,1,no
04-10-13-31-35 MB:04,10-35,93,21,1,no
04-10-13-31-56 MB:04,10-56,114,21,1,no
04-11-13-31-35 MB:04,11-35,94,21,1,no
04-11-13-31-43 MB:04,11-43,102,21,1,no
04-12-13-31-35 MB:04,12-35,95,21,1,yes
04-12-13-31-37 MB:04,12-37,97,21,1,yes
04-12-13-31-43 MB:04,12-43,103,21,1,yes
04-12-13-31-47 MB:04,12-47,107,21,1,yes
04-12-13-31-56 MB:04,12-56,116,21,1,yes
04-13-14-31-34 MB:04,14-34,96,21,1,yes
04-13-23-31-45 MB:04,23-45,116,21,1,no
04-13-26-31-40 MB:04,26-40,114,21,1,no
04-13-26-31-41 MB:04,26-41,115,21,1,no
04-13-27-31-48 MB:04,27-48,123,21,1,no
04-05-13-31-45 MB:04,05-45,98,21,0,yes
04-07-13-31-39 MB:04,07-39,94,21,0,no
04-07-13-31-40 MB:04,07-40,95,21,0,no
04-07-13-31-41 MB:04,07-41,96,21,0,no
04-07-13-31-44 MB:04,07-44,99,21,0,no
04-07-13-31-58 MB:04,07-58,113,21,0,no
04-09-13-31-37 MB:04,09-37,94,21,0,no
04-09-13-31-43 MB:04,09-43,100,21,0,no
04-09-13-31-47 MB:04,09-47,104,21,0,no
04-09-13-31-51 MB:04,09-51,108,21,0,no
04-09-13-31-56 MB:04,09-56,113,21,0,no
04-10-13-31-43 MB:04,10-43,101,21,0,no
04-10-13-31-46 MB:04,10-46,104,21,0,no
04-10-13-31-47 MB:04,10-47,105,21,0,no
04-10-13-31-51 MB:04,10-51,109,21,0,no
04-10-13-31-57 MB:04,10-57,115,21,0,no
04-11-13-31-37 MB:04,11-37,96,21,0,no
04-11-13-31-46 MB:04,11-46,105,21,0,no
04-11-13-31-47 MB:04,11-47,106,21,0,no
04-11-13-31-51 MB:04,11-51,110,21,0,no
04-11-13-31-57 MB:04,11-57,116,21,0,no
04-12-13-31-51 MB:04,12-51,111,21,0,yes
04-12-13-31-57 MB:04,12-57,117,21,0,yes
04-13-14-31-36 MB:04,14-36,98,21,0,yes
04-13-14-31-49 MB:04,14-49,111,21,0,yes
04-13-16-31-39 MB:04,16-39,103,21,0,no
04-13-16-31-40 MB:04,16-40,104,21,0,no
04-13-16-31-44 MB:04,16-44,108,21,0,no
04-13-16-31-58 MB:04,16-58,122,21,0,no
04-13-22-31-45 MB:04,22-45,115,21,0,no
04-13-24-31-53 MB:04,24-53,125,21,0,no
04-13-26-31-33 MB:04,26-33,107,21,0,no
04-13-26-31-39 MB:04,26-39,113,21,0,no
04-13-26-31-58 MB:04,26-58,132,21,0,no
04-13-27-31-42 MB:04,27-42,117,21,0,no
04-13-28-31-38 MB:04,28-38,114,21,0,no
04-13-28-31-53 MB:04,28-53,129,21,0,no
04-10-13-31-53 MB:04,10-53,111,20,2,no
04-05-13-31-47 MB:04,05-47,100,20,1,yes
04-05-13-31-51 MB:04,05-51,104,20,1,yes
04-09-13-31-38 MB:04,09-38,95,20,1,no
04-11-13-31-53 MB:04,11-53,112,20,1,no
04-12-13-31-53 MB:04,12-53,113,20,1,yes
04-13-16-31-49 MB:04,16-49,113,20,1,no
04-13-18-31-52 MB:04,18-52,118,20,1,no
04-13-22-31-35 MB:04,22-35,105,20,1,no
04-13-22-31-47 MB:04,22-47,117,20,1,no
04-13-22-31-57 MB:04,22-57,127,20,1,no
04-13-23-31-35 MB:04,23-35,106,20,1,no
04-13-23-31-51 MB:04,23-51,122,20,1,no
04-13-24-31-44 MB:04,24-44,116,20,1,no
04-13-26-31-36 MB:04,26-36,110,20,1,no
04-13-27-31-45 MB:04,27-45,120,20,1,no
04-13-28-31-33 MB:04,28-33,109,20,1,no
04-13-28-31-41 MB:04,28-41,117,20,1,no
04-13-28-31-44 MB:04,28-44,120,20,1,no
04-13-30-31-52 MB:04,30-52,130,20,1,yes
04-05-13-31-35 MB:04,05-35,88,20,0,yes
04-05-13-31-37 MB:04,05-37,90,20,0,yes
04-05-13-31-43 MB:04,05-43,96,20,0,yes
04-05-13-31-46 MB:04,05-46,99,20,0,yes
04-05-13-31-56 MB:04,05-56,109,20,0,yes
04-05-13-31-57 MB:04,05-57,110,20,0,yes
04-07-13-31-34 MB:04,07-34,89,20,0,no
04-07-13-31-36 MB:04,07-36,91,20,0,no
04-07-13-31-49 MB:04,07-49,104,20,0,no
04-09-13-31-53 MB:04,09-53,110,20,0,no
04-10-13-31-38 MB:04,10-38,96,20,0,no
04-11-13-31-38 MB:04,11-38,97,20,0,no
04-12-13-31-38 MB:04,12-38,98,20,0,yes
04-13-15-31-52 MB:04,15-52,115,20,0,no
04-13-16-31-34 MB:04,16-34,98,20,0,no
04-13-16-31-36 MB:04,16-36,100,20,0,no
04-13-19-31-52 MB:04,19-52,119,20,0,no
04-13-22-31-37 MB:04,22-37,107,20,0,no
04-13-22-31-43 MB:04,22-43,113,20,0,no
04-13-22-31-46 MB:04,22-46,116,20,0,no
04-13-22-31-51 MB:04,22-51,121,20,0,no
04-13-22-31-56 MB:04,22-56,126,20,0,no
