full_ticket,extra_pair,sum_all_5,high_freq_score,pair_seen_together,has_consecutive
04-13-26-31-52 MB:04,26-52,126,16,1,no
04-07-13-31-52 MB:04,07-52,107,16,0,no
04-13-27-31-34 MB:04,27-34,109,16,0,no
04-13-27-31-36 MB:04,27-36,111,16,0,no
04-13-24-31-52 MB:04,24-52,124,15,0,no
04-13-28-31-52 MB:04,28-52,128,15,0,no
04-09-13-31-52 MB:04,09-52,109,14,0,no
04-10-13-31-52 MB:04,10-52,110,14,0,no
04-11-13-31-52 MB:04,11-52,111,14,0,no
04-12-13-31-52 MB:04,12-52,112,14,0,yes
04-05-13-31-52 MB:04,05-52,105,13,0,yes
04-13-22-31-52 MB:04,22-52,122,13,0,no
04-13-23-31-52 MB:04,23-52,123,13,0,no
04-13-27-31-52 MB:04,27-52,127,12,0,no
